,Source,Target,book,chapter
0,Count,Radovid,0,8
1,Radovid,Count,0,8
2,Radovid,King,0,8
3,Baron,Count,0,8
4,Esterad,Zuleyka,0,8
5,Esterad,King,0,8
6,King,Zuleyka,0,8
7,King,Philippa,0,8
8,Zuleyka,Philippa,0,8
9,King,Esterad,0,8
10,King,Blue,0,8
11,Blue,Esterad,0,8
12,Emhyr,King,0,8
13,King,Demavend,0,8
14,King,Henselt,0,8
15,King,Emhyr,0,8
16,Demavend,Henselt,0,8
17,Demavend,King,0,8
18,Demavend,Emhyr,0,8
19,Demavend,Foltest,0,8
20,Henselt,King,0,8
21,Henselt,Emhyr,0,8
22,Henselt,Foltest,0,8
23,King,Foltest,0,8
24,Emhyr,Foltest,0,8
25,Carthia,Assire,0,8
26,Assire,Vattier,0,8
27,Vattier,Assire,0,8
28,Assire,Menno,0,8
29,Menno,Assire,0,8
30,Assire,Carthia,0,8
31,Assire,Emhyr,0,8
32,Emhyr,Vattier,0,8
33,Assire,Fringilla,0,8
34,Fringilla,Assire,0,8
35,Assire,Philippa,0,8
36,Philippa,Assire,0,8
37,Fergus,Emhyr,0,8
38,Emhyr,Esterad,0,8
39,Foltest,Esterad,0,8
40,Zuleyka,Esterad,0,8
41,Esterad,Ciri,0,8
42,Esterad,Emhyr,0,8
43,Ciri,Emhyr,0,8
44,Zuleyka,Lebioda,0,8
45,Lebioda,Emhyr,0,8
46,Emhyr,Zuleyka,0,8
47,Jacob,Esterad,0,8
48,Lebioda,Esterad,0,8
49,Lebioda,Zuleyka,0,8
50,Esterad,Lebioda,0,8
51,Lebioda,King,0,8
52,Duke,Esterad,0,8
53,Esterad,Duke,0,8
54,Adam,Julia,0,8
55,Julia,Zuleyka,0,8
56,Zuleyka,Duke,0,8
57,Zuleyka,King,0,8
58,King,Baron,0,8
59,Ciri,Zuleyka,0,8
60,Esterad,Ithlinne,0,8
61,Vilgefortz,Yennefer,0,8
62,Yennefer,Vilgefortz,0,8
63,Vilgefortz,Philippa,0,8
