,Source,Target,book,chapter
0,Falka,Joanna,0,4
1,Baron,Falka,0,4
2,Falka,Baron,0,4
3,Ciri,Mistle,0,4
4,Mistle,Ciri,0,4
5,Ciri,Baron,0,4
6,Kelpie,Vysogota,0,4
7,Vysogota,Ciri,0,4
8,Kelpie,Baron,0,4
9,Emhyr,Leo,0,4
10,Emhyr,Ciri,0,4
11,Leo,Ciri,0,4
12,Ciri,Windsor,0,4
13,Ciri,Leo,0,4
14,Ciri,Vysogota,0,4
15,Windsor,Baron,0,4
16,Windsor,Ciri,0,4
17,Baron,Ciri,0,4
18,Leo,Falka,0,4
19,Baron,Windsor,0,4
20,Windsor,Leo,0,4
21,Falka,Windsor,0,4
22,Windsor,Falka,0,4
23,Stavro,Baron,0,4
24,Stavro,Ciri,0,4
25,Ciri,Stavro,0,4
26,Little,Stavro,0,4
27,Stavro,Falka,0,4
28,Windsor,Stavro,0,4
