,Source,Target,book,chapter
0,Joanna,Stefan,4,10
1,Rience,Vattier,4,10
2,Ciri,Kelpie,4,10
3,Ciri,Vysogota,4,10
4,Vysogota,Kelpie,4,10
5,Vysogota,Ciri,4,10
6,Kelpie,Ciri,4,10
7,Yennefer,Rience,4,10
8,Rience,Ciri,4,10
9,Ciri,Rience,4,10
10,Vysogota,Rience,4,10
11,Rience,Vysogota,4,10
12,Rience,Falka,4,10
13,Rience,Emhyr,4,10
14,Rience,Vilgefortz,4,10
15,Vilgefortz,Sir,4,10
16,Vilgefortz,Ithlinne,4,10
17,Sir,Ithlinne,4,10
18,Vilgefortz,Ardal,4,10
19,Ardal,Emhyr,4,10
20,Emhyr,Stefan,4,10
21,Stefan,Rience,4,10
22,Rience,Duke,4,10
23,Duke,Vattier,4,10
24,Two,Sir,4,10
25,Vattier,Stefan,4,10
26,Vattier,Rience,4,10
27,Vysogota,Yennefer,4,10
28,Ciri,Yennefer,4,10
29,Falka,Ori,4,10
30,Jan,Two,4,10
31,Two,Jan,4,10
32,Falka,Rience,4,10
33,Falka,Ciri,4,10
34,Ciri,Jan,4,10
35,Jan,Ciri,4,10
