,Source,Target,book,chapter
0,Iola,Milo,4,11
1,Iola,Nenneke,4,11
2,Milo,Nenneke,4,11
3,Iola,Jarre,4,11
4,Ciri,Nenneke,4,11
5,Nenneke,Jarre,4,11
6,Jarre,Triss,4,11
7,Iola,Ciri,4,11
8,Iola,Triss,4,11
9,Triss,Nenneke,4,11
10,Triss,Ciri,4,11
11,Nenneke,Ciri,4,11
12,Ciri,Jarre,4,11
13,Jarre,Ciri,4,11
14,Jarre,Nenneke,4,11
15,Nenneke,Triss,4,11
16,Rience,Vilgefortz,4,11
17,Vilgefortz,Rience,4,11
18,Emhyr,Ciri,4,11
19,Ciri,Vilgefortz,4,11
20,Ciri,Rience,4,11
21,Ciri,Yennefer,4,11
22,Vilgefortz,Yennefer,4,11
23,Yennefer,Rience,4,11
24,Yennefer,Vilgefortz,4,11
25,Crach,Pavetta,4,11
26,Yennefer,Ciri,4,11
27,Vilgefortz,Ciri,4,11
28,Vilgefortz,Triss,4,11
29,Ciri,Triss,4,11
30,Geralt,Dandelion,4,11
31,Stefan,Rience,4,11
32,Rience,Ori,4,11
33,Rience,Yennefer,4,11
34,Rience,Ciri,4,11
35,Kelpie,Ciri,4,11
36,Kelpie,Iola,4,11
37,Mistle,Geralt,4,11
38,Geralt,Yennefer,4,11
39,Ciri,Geralt,4,11
40,Ciri,Vysogota,4,11
41,Vysogota,Ciri,4,11
42,Ciri,Kelpie,4,11
