,Source,Target,book,chapter
0,Geralt,Milva,0,7
1,Geralt,Dandelion,0,7
2,Milva,Dandelion,0,7
3,Milva,Geralt,0,7
4,Dandelion,Geralt,0,7
5,Geralt,Forest,0,7
6,Ciri,Geralt,0,7
7,Geralt,Aen,0,7
8,Aen,Ithlinne,0,7
9,Geralt,Ithlinne,0,7
10,Geralt,Ciri,0,7
11,Two,Geralt,0,7
12,Geralt,Julia,0,7
13,Julia,Baron,0,7
14,Julia,Two,0,7
15,Baron,Two,0,7
16,Baron,Dandelion,0,7
17,Baron,Julia,0,7
18,Dandelion,Julia,0,7
19,Geralt,Baron,0,7
20,Baron,Anna,0,7
21,Anna,Geralt,0,7
22,Julia,Geralt,0,7
23,Dandelion,Milva,0,7
24,Milva,Emiel,0,7
25,Emiel,Geralt,0,7
