,Source,Target,book,chapter
0,Zuleyka,Philippa,4,1
1,Zuleyka,Vesemir,4,1
2,Philippa,Vesemir,4,1
3,Philippa,Fringilla,4,1
4,Philippa,Sigrdrifa,4,1
5,Vesemir,Fringilla,4,1
6,Vesemir,Sigrdrifa,4,1
7,Vesemir,Daniel,4,1
8,Vesemir,Zyvik,4,1
9,Fringilla,Sigrdrifa,4,1
10,Fringilla,Daniel,4,1
11,Fringilla,Zyvik,4,1
12,Sigrdrifa,Daniel,4,1
13,Sigrdrifa,Zyvik,4,1
14,Daniel,Zyvik,4,1
15,Jarre,Triss,4,1
16,Nenneke,Triss,4,1
17,Nenneke,Jarre,4,1
18,Triss,Jarre,4,1
19,Stefan,Ciri,4,1
20,Vysogota,Ciri,4,1
21,Ciri,Vysogota,4,1
22,Vysogota,Kelpie,4,1
23,Kelpie,Ciri,4,1
24,Ciri,Kelpie,4,1
25,Aen,Ciri,4,1
