,Source,Target,book,chapter
0,Geralt,Ciri,0,11
1,Yennefer,Ciri,0,11
2,Ciri,Yennefer,0,11
3,Yennefer,Geralt,0,11
4,Ciri,Geralt,0,11
5,Geralt,Dandelion,0,11
6,Ciri,Dandelion,0,11
7,Cahir,Ciri,0,11
8,Dandelion,Julia,0,11
9,Julia,Dandelion,0,11
10,Julia,Ciri,0,11
11,Julia,Count,0,11
12,Dandelion,Ciri,0,11
13,Dandelion,Count,0,11
14,Ciri,Count,0,11
15,Ciri,Julia,0,11
16,Count,Julia,0,11
17,Julia,Anna,0,11
18,Dandelion,Anna,0,11
19,Count,Geralt,0,11
20,Dandelion,Baron,0,11
21,Baron,Dandelion,0,11
22,Fringilla,Jan,0,11
23,Fringilla,Dandelion,0,11
24,Jan,Dandelion,0,11
25,Dandelion,Geralt,0,11
26,Geralt,Yennefer,0,11
27,Yennefer,Kelpie,0,11
28,Ciri,Kelpie,0,11
29,Kelpie,Geralt,0,11
30,Kelpie,Dandelion,0,11
31,Yennefer,Triss,0,11
32,Ciri,Triss,0,11
33,Ciri,Margarita,0,11
34,Triss,Margarita,0,11
35,Triss,Yennefer,0,11
36,Margarita,Yennefer,0,11
37,Margarita,Ciri,0,11
38,Fringilla,Yennefer,0,11
39,Fringilla,Philippa,0,11
40,Fringilla,Ciri,0,11
41,Yennefer,Philippa,0,11
42,Philippa,Ciri,0,11
43,Philippa,Francesca,0,11
44,Ciri,Francesca,0,11
45,Francesca,Yennefer,0,11
46,Francesca,Tissaia,0,11
47,Yennefer,Tissaia,0,11
48,Tissaia,Ciri,0,11
49,Vilgefortz,Emhyr,0,11
50,Vilgefortz,Philippa,0,11
51,Emhyr,Philippa,0,11
52,Philippa,Esterad,0,11
53,Philippa,Zuleyka,0,11
54,Esterad,Zuleyka,0,11
55,Esterad,Ciri,0,11
56,Zuleyka,Ciri,0,11
57,Ciri,Philippa,0,11
58,Yennefer,Francesca,0,11
59,Francesca,Ciri,0,11
60,Yennefer,Margarita,0,11
61,Geralt,Margarita,0,11
62,Margarita,Geralt,0,11
63,Geralt,Vilgefortz,0,11
64,Vilgefortz,Geralt,0,11
65,Philippa,Sabrina,0,11
66,Ciri,Sabrina,0,11
67,Sabrina,Keira,0,11
68,Sabrina,Geralt,0,11
69,Keira,Geralt,0,11
70,Keira,Sabrina,0,11
71,Keira,Yennefer,0,11
72,Geralt,Sabrina,0,11
73,Sabrina,Yennefer,0,11
74,Triss,Geralt,0,11
75,Triss,Tissaia,0,11
76,Geralt,Tissaia,0,11
77,Margarita,Tissaia,0,11
78,Margarita,Francesca,0,11
79,Tissaia,Francesca,0,11
80,Francesca,Ida,0,11
81,Francesca,Assire,0,11
82,Ida,Assire,0,11
83,Ida,Ciri,0,11
84,Assire,Ciri,0,11
85,Yennefer,Sabrina,0,11
