,Source,Target,book,chapter
0,Nimue,Dandelion,5,2
1,Dandelion,Nimue,5,2
2,Dandelion,Two,5,2
3,Nimue,Two,5,2
4,Geralt,Nimue,5,2
5,Yennefer,Nimue,5,2
6,Ciri,Nimue,5,2
7,Nimue,Ciri,5,2
8,Ciri,Lydia,5,2
9,Lydia,Nimue,5,2
10,Stella,Count,5,2
11,Stella,Emhyr,5,2
12,Count,Emhyr,5,2
13,Count,Stella,5,2
14,Emhyr,Vattier,5,2
15,Emhyr,Stella,5,2
16,Emhyr,Count,5,2
17,Nimue,Emhyr,5,2
18,Emhyr,Nimue,5,2
19,Nimue,King,5,2
20,Emhyr,King,5,2
21,King,Ciri,5,2
22,Ciri,Emhyr,5,2
23,Dandelion,Jarre,5,2
24,Dandelion,Jan,5,2
25,Jan,Nimue,5,2
26,Cahir,Count,5,2
27,Cahir,Dandelion,5,2
28,Count,Dandelion,5,2
29,Dandelion,Geralt,5,2
30,Nimue,Geralt,5,2
31,Geralt,Dandelion,5,2
32,Geralt,Count,5,2
33,Dandelion,Count,5,2
34,Margarita,Francesca,5,2
35,Francesca,Ida,5,2
36,Ciri,Vilgefortz,5,2
37,Yennefer,Jan,5,2
38,Jan,Vilgefortz,5,2
39,Vilgefortz,Ciri,5,2
40,Vilgefortz,Yennefer,5,2
41,Ciri,Yennefer,5,2
42,Yennefer,Ciri,5,2
43,Yennefer,Vilgefortz,5,2
44,Yennefer,Geralt,5,2
45,Geralt,Ciri,5,2
46,Geralt,Yennefer,5,2
47,Vilgefortz,Emhyr,5,2
48,Emhyr,Stefan,5,2
49,Emhyr,Yennefer,5,2
50,Stefan,Yennefer,5,2
51,Stefan,Vilgefortz,5,2
52,Yennefer,Stefan,5,2
53,Nimue,Everett,5,2
