,Source,Target,book,chapter
0,Pavetta,Calanthe,5,11
1,Pavetta,Cyrus,5,11
2,Calanthe,Cyrus,5,11
3,Cyrus,Calanthe,5,11
4,Calanthe,Triss,5,11
5,Triss,Ciri,5,11
6,Triss,Philippa,5,11
7,Shilard,King,5,11
8,Shilard,Foltest,5,11
9,Shilard,Henselt,5,11
10,King,Foltest,5,11
11,King,Henselt,5,11
12,Foltest,Henselt,5,11
13,Henselt,King,5,11
14,Henselt,Meve,5,11
15,Henselt,Demavend,5,11
16,King,Meve,5,11
17,King,Demavend,5,11
18,Meve,Demavend,5,11
19,Meve,Henselt,5,11
20,Demavend,Henselt,5,11
21,Foltest,Demavend,5,11
22,Demavend,Cyrus,5,11
23,Demavend,Shilard,5,11
24,Cyrus,Shilard,5,11
25,Sabrina,Emhyr,5,11
26,Sabrina,Demavend,5,11
27,Sabrina,Shilard,5,11
28,Emhyr,Demavend,5,11
29,Emhyr,Shilard,5,11
30,Demavend,Assire,5,11
31,Shilard,Assire,5,11
32,Assire,Sabrina,5,11
33,Assire,Francesca,5,11
34,Sabrina,Francesca,5,11
35,Sabrina,Margarita,5,11
36,Francesca,Sabrina,5,11
37,Francesca,Margarita,5,11
38,Francesca,King,5,11
39,Sabrina,King,5,11
40,Margarita,Francesca,5,11
41,Margarita,King,5,11
42,Margarita,Demavend,5,11
43,Francesca,Demavend,5,11
44,King,Sabrina,5,11
45,King,Francesca,5,11
46,Demavend,Sabrina,5,11
47,Demavend,Francesca,5,11
48,Sabrina,Philippa,5,11
49,Demavend,Philippa,5,11
50,Francesca,Philippa,5,11
51,Philippa,Demavend,5,11
52,Philippa,Assire,5,11
53,Riordain,Isengrim,5,11
54,Shilard,Baron,5,11
55,Baron,Ambassador,5,11
56,Ambassador,Shilard,5,11
57,Baron,Shilard,5,11
58,Shilard,Emhyr,5,11
59,Shilard,Demavend,5,11
60,Foltest,Meve,5,11
61,Henselt,Foltest,5,11
62,Meve,Foltest,5,11
63,Meve,Calanthe,5,11
64,Foltest,Calanthe,5,11
65,Philippa,Foltest,5,11
66,Foltest,Philippa,5,11
67,Foltest,Emhyr,5,11
68,Philippa,Emhyr,5,11
69,Emhyr,Margarita,5,11
70,Margarita,Assire,5,11
71,Assire,Philippa,5,11
72,Philippa,Triss,5,11
73,Triss,Vattier,5,11
74,Vattier,Emhyr,5,11
75,Vattier,Count,5,11
76,Count,Emhyr,5,11
77,Emhyr,Vattier,5,11
78,Emhyr,Stefan,5,11
79,Vattier,Stefan,5,11
80,Emhyr,Stella,5,11
81,Stella,Emhyr,5,11
82,Count,Stella,5,11
83,Zuleyka,Ciri,5,11
84,Zuleyka,Calanthe,5,11
85,Zuleyka,Shilard,5,11
86,Ciri,Calanthe,5,11
87,Ciri,Shilard,5,11
88,Ciri,Emhyr,5,11
89,Calanthe,Shilard,5,11
90,Calanthe,Emhyr,5,11
91,Pavetta,Philippa,5,11
92,Adam,Julia,5,11
93,Demavend,Radovid,5,11
94,Cyrus,Radovid,5,11
95,Philippa,Radovid,5,11
96,Nenneke,Iola,5,11
97,Iola,Milo,5,11
98,Philippa,Sigismund,5,11
99,Lucienne,Jarre,5,11
100,Jarre,Lucienne,5,11
101,Jarre,Two,5,11
102,Two,Lucienne,5,11
103,Toruviel,Lucienne,5,11
104,Rayla,Barclay,5,11
105,Isengrim,Riordain,5,11
106,Philippa,King,5,11
107,King,Philippa,5,11
