,Source,Target,book,chapter
0,Yennefer,Stefan,0,9
1,Ciri,Stefan,0,9
2,Ciri,Vilgefortz,0,9
3,Ciri,Yennefer,0,9
4,Yennefer,Vilgefortz,0,9
5,Vilgefortz,Ciri,0,9
6,Vilgefortz,Yennefer,0,9
7,Yennefer,Ciri,0,9
8,Ciri,Aen,0,9
9,Vilgefortz,Aen,0,9
10,Vilgefortz,Emhyr,0,9
11,Cahir,Geralt,0,9
12,Cahir,Milva,0,9
13,Geralt,Milva,0,9
14,Milva,Geralt,0,9
15,Geralt,Cahir,0,9
16,Milva,Maria,0,9
17,Milva,Cahir,0,9
18,Geralt,Maria,0,9
19,Ciri,Emiel,0,9
20,Ciri,Geralt,0,9
21,Emiel,Geralt,0,9
22,Geralt,Emiel,0,9
23,Emiel,Ciri,0,9
24,Yennefer,Emiel,0,9
25,Yennefer,Geralt,0,9
26,Vilgefortz,Emiel,0,9
27,Vilgefortz,Geralt,0,9
28,Geralt,Yennefer,0,9
29,Geralt,Vilgefortz,0,9
30,Count,Stefan,0,9
31,Leo,Vilgefortz,0,9
32,Ciri,Cahir,0,9
33,Geralt,Ciri,0,9
34,Cahir,Ciri,0,9
35,Cahir,Two,0,9
36,Two,Ciri,0,9
37,Cahir,Aillil,0,9
38,Ciri,Fringilla,0,9
39,Geralt,Fringilla,0,9
40,Fringilla,Count,0,9
41,Count,Ciri,0,9
42,Ciri,Leo,0,9
43,Leo,Yennefer,0,9
44,Leo,Ciri,0,9
45,Emhyr,Geralt,0,9
46,Ciri,Emhyr,0,9
47,Geralt,Emhyr,0,9
48,Geralt,Pavetta,0,9
49,Emhyr,Vilgefortz,0,9
50,Emhyr,Pavetta,0,9
51,Vilgefortz,Pavetta,0,9
52,Pavetta,Emhyr,0,9
53,Emhyr,Duke,0,9
54,Duke,Emhyr,0,9
55,Emhyr,Xarthisius,0,9
56,Xarthisius,Vilgefortz,0,9
57,Vilgefortz,Braathens,0,9
58,Ciri,Pavetta,0,9
59,Pavetta,Vilgefortz,0,9
60,Pavetta,Ciri,0,9
61,Emhyr,Calanthe,0,9
62,Geralt,Calanthe,0,9
63,Calanthe,Vilgefortz,0,9
64,Calanthe,Ciri,0,9
65,Emhyr,Ciri,0,9
66,Emhyr,Yennefer,0,9
67,Yennefer,Emhyr,0,9
68,Philippa,Fringilla,0,9
69,Francesca,Geralt,0,9
70,Francesca,Fringilla,0,9
71,Fringilla,Vilgefortz,0,9
72,Vilgefortz,Fringilla,0,9
73,Fringilla,Sabrina,0,9
74,Fringilla,Philippa,0,9
75,Sabrina,Philippa,0,9
76,Stella,Count,0,9
77,Stella,Emhyr,0,9
78,Count,Emhyr,0,9
