,Source,Target,book,chapter
0,Jarre,Milton,0,6
1,Milton,Jarre,0,6
2,Jarre,Jan,0,6
3,Jan,Jarre,0,6
4,Jarre,Sir,0,6
5,Sir,Jarre,0,6
6,Jarre,Two,0,6
7,Two,Jarre,0,6
8,Jarre,Geralt,0,6
9,Jarre,Nenneke,0,6
10,Jarre,Ciri,0,6
11,Geralt,Nenneke,0,6
12,Geralt,Ciri,0,6
13,Geralt,Triss,0,6
14,Nenneke,Ciri,0,6
15,Nenneke,Triss,0,6
16,Ciri,Triss,0,6
17,Jarre,King,0,6
18,Adam,Julia,0,6
19,Jarre,Dennis,0,6
20,Dennis,Jarre,0,6
21,Dennis,Nenneke,0,6
22,Nenneke,Dennis,0,6
23,Nenneke,Jarre,0,6
24,Sheldon,Jarre,0,6
25,Jarre,Sheldon,0,6
26,Sheldon,Zoltan,0,6
27,Sheldon,Menno,0,6
28,Zoltan,Menno,0,6
29,Zoltan,Jarre,0,6
30,Menno,Jarre,0,6
31,Zoltan,Dennis,0,6
32,Zoltan,Vissegerd,0,6
33,Zoltan,Julia,0,6
34,Dennis,Vissegerd,0,6
35,Dennis,Julia,0,6
36,Vissegerd,Julia,0,6
37,Vissegerd,Dennis,0,6
38,Julia,Dennis,0,6
39,Julia,Yarpen,0,6
40,Dennis,Yarpen,0,6
41,Dennis,Emhyr,0,6
42,Yarpen,Emhyr,0,6
43,Emhyr,Zoltan,0,6
44,Dennis,Zoltan,0,6
45,Jarre,Zoltan,0,6
46,Dennis,Ciri,0,6
47,Ciri,Nenneke,0,6
