,Source,Target,book,chapter
0,Ciri,Nimue,0,7
1,Nimue,Ciri,0,7
2,Ciri,Kelpie,0,7
3,Kelpie,Ciri,0,7
4,Kelpie,Ihuarraquax,0,7
5,Kelpie,Two,0,7
6,Two,Kelpie,0,7
7,Two,Ciri,0,7
8,Nimue,King,0,7
9,King,Nimue,0,7
10,Ciri,Vysogota,0,7
11,Fabio,Yennefer,0,7
12,Ciri,Geralt,0,7
13,Geralt,Kelpie,0,7
14,Geralt,Cahir,0,7
15,Cahir,Milva,0,7
16,Cahir,Geralt,0,7
17,Milva,Cahir,0,7
18,Geralt,Reynart,0,7
19,King,Geralt,0,7
20,Nimue,Ithlinne,0,7
21,Ithlinne,Nimue,0,7
22,Nimue,Jan,0,7
23,Ciri,Jarre,0,7
24,Aen,Ciri,0,7
25,Jarre,Anna,0,7
