,Source,Target,book,chapter
0,Keira,Philippa,5,4
1,Keira,Fringilla,5,4
2,Philippa,Fringilla,5,4
3,Philippa,Margarita,5,4
4,Philippa,Sabrina,5,4
5,Fringilla,Philippa,5,4
6,Fringilla,Margarita,5,4
7,Fringilla,Sabrina,5,4
8,Margarita,Sabrina,5,4
9,Sabrina,Ida,5,4
10,Ida,Assire,5,4
11,Fringilla,Ciri,5,4
12,Fringilla,Triss,5,4
13,Ciri,Triss,5,4
14,Ciri,Philippa,5,4
15,Triss,Philippa,5,4
16,Geralt,Fringilla,5,4
17,Fringilla,Milva,5,4
18,Fringilla,Dandelion,5,4
19,Fringilla,Little,5,4
20,Dandelion,Little,5,4
21,Little,Fringilla,5,4
22,Milva,Geralt,5,4
23,Geralt,Milva,5,4
24,Geralt,Baron,5,4
25,Baron,Milva,5,4
26,Milva,Baron,5,4
27,Milva,Cahir,5,4
28,Baron,Cahir,5,4
29,Milva,Fringilla,5,4
30,Fringilla,Geralt,5,4
31,Fringilla,Cahir,5,4
32,Geralt,Cahir,5,4
33,Cahir,Fringilla,5,4
34,Cahir,Geralt,5,4
35,Cahir,Ciri,5,4
36,Geralt,Ciri,5,4
37,Geralt,Reynart,5,4
38,Vilgefortz,Vattier,5,4
39,Vilgefortz,Joachim,5,4
40,Ardal,Emhyr,5,4
41,Stefan,Joachim,5,4
42,Morvran,Count,5,4
43,Count,Emhyr,5,4
44,Emhyr,Ardal,5,4
45,Ardal,Joachim,5,4
46,Ardal,Stefan,5,4
47,Ardal,Vilgefortz,5,4
48,Joachim,Stefan,5,4
49,Joachim,Vilgefortz,5,4
50,Joachim,Emhyr,5,4
51,Stefan,Vilgefortz,5,4
52,Stefan,Emhyr,5,4
53,Vilgefortz,Emhyr,5,4
54,Emhyr,Joachim,5,4
55,Vilgefortz,Yennefer,5,4
56,Yennefer,Emhyr,5,4
57,Yennefer,Ardal,5,4
58,Yennefer,Joachim,5,4
59,Ardal,Count,5,4
60,Joachim,Count,5,4
61,Count,Vilgefortz,5,4
62,Vilgefortz,Stefan,5,4
63,Fringilla,Vilgefortz,5,4
64,Yennefer,Ciri,5,4
65,Yennefer,Vilgefortz,5,4
66,Ciri,Vilgefortz,5,4
67,Ciri,Fringilla,5,4
68,Vilgefortz,Fringilla,5,4
69,Vilgefortz,Geralt,5,4
70,Vilgefortz,Philippa,5,4
71,Fringilla,Keira,5,4
72,Philippa,Vilgefortz,5,4
73,Philippa,Keira,5,4
74,Vilgefortz,Keira,5,4
75,Vilgefortz,Sabrina,5,4
76,Keira,Sabrina,5,4
77,Sabrina,Fringilla,5,4
78,Fringilla,Assire,5,4
79,Guy,Geralt,5,4
80,Guy,Reynart,5,4
81,Reynart,Cahir,5,4
82,Cahir,Dandelion,5,4
83,Philippa,Francesca,5,4
84,Philippa,Ida,5,4
85,Francesca,Ida,5,4
86,Sabrina,Philippa,5,4
87,Sabrina,Vilgefortz,5,4
88,Philippa,Triss,5,4
89,Margarita,Fringilla,5,4
90,Margarita,Triss,5,4
91,Margarita,Francesca,5,4
92,Fringilla,Francesca,5,4
93,Triss,Francesca,5,4
94,Triss,Assire,5,4
95,Francesca,Assire,5,4
96,Francesca,Philippa,5,4
97,Assire,Philippa,5,4
98,Assire,Fringilla,5,4
99,Assire,Sabrina,5,4
