,Source,Target,book,chapter
0,Dandelion,Meve,0,12
1,Two,Dandelion,0,12
2,Dandelion,Geralt,0,12
3,Geralt,Dandelion,0,12
4,Two,Geralt,0,12
5,Yarpen,Zoltan,0,12
6,Zoltan,Yarpen,0,12
7,Zoltan,King,0,12
8,Yarpen,King,0,12
9,King,Zoltan,0,12
10,King,Yarpen,0,12
11,Zoltan,Percival,0,12
12,Percival,Field,0,12
13,Field,Yarpen,0,12
14,Zoltan,Regan,0,12
15,Yarpen,Eudora,0,12
16,Zoltan,Eudora,0,12
17,Eudora,Zoltan,0,12
18,Eudora,Dandelion,0,12
19,Zoltan,Dandelion,0,12
20,Ciri,Yennefer,0,12
21,Ciri,King,0,12
22,Yennefer,King,0,12
23,Yennefer,Geralt,0,12
24,King,Geralt,0,12
25,Yarpen,Geralt,0,12
26,Dandelion,Yarpen,0,12
27,Yarpen,Dandelion,0,12
28,King,Dandelion,0,12
29,Geralt,Yennefer,0,12
30,Dandelion,Zoltan,0,12
31,Geralt,Two,0,12
32,Eskel,Geralt,0,12
33,Eskel,Vesemir,0,12
34,Eskel,Lambert,0,12
35,Geralt,Vesemir,0,12
36,Geralt,Lambert,0,12
37,Vesemir,Lambert,0,12
38,Vesemir,Eskel,0,12
39,Vesemir,Geralt,0,12
40,Lambert,Eskel,0,12
41,Lambert,Vesemir,0,12
42,Geralt,Zoltan,0,12
43,Yennefer,Ciri,0,12
44,Ciri,Kelpie,0,12
45,Triss,Yennefer,0,12
46,Triss,Ciri,0,12
47,Yennefer,Triss,0,12
48,Ciri,Triss,0,12
49,Ciri,Geralt,0,12
50,Geralt,Kelpie,0,12
51,Kelpie,Yennefer,0,12
52,Kelpie,Ciri,0,12
53,Yennefer,Kelpie,0,12
54,Triss,Kelpie,0,12
55,Tissaia,Yennefer,0,12
56,Yennefer,Tissaia,0,12
57,Yennefer,Nimue,0,12
58,Nimue,Triss,0,12
59,Triss,Nimue,0,12
60,Geralt,Ciri,0,12
61,Ciri,Dandelion,0,12
62,Dandelion,Ciri,0,12
63,Dandelion,Yennefer,0,12
64,Yennefer,Dandelion,0,12
65,Dandelion,Triss,0,12
66,Kelpie,Triss,0,12
67,Ciri,Cahir,0,12
68,Ciri,Milva,0,12
69,Yennefer,Cahir,0,12
70,Yennefer,Milva,0,12
71,Yennefer,Zoltan,0,12
72,Cahir,Milva,0,12
73,Cahir,Zoltan,0,12
74,Cahir,Triss,0,12
75,Milva,Zoltan,0,12
76,Milva,Triss,0,12
77,Milva,Lytta,0,12
78,Zoltan,Triss,0,12
79,Zoltan,Lytta,0,12
80,Zoltan,Ciri,0,12
81,Triss,Lytta,0,12
82,Lytta,Ciri,0,12
83,Lytta,Triss,0,12
84,Triss,Dandelion,0,12
85,Triss,Yarpen,0,12
86,Dandelion,Mistle,0,12
