,Source,Target,book,chapter
0,Reynart,Geralt,0,3
1,Reynard,Geralt,0,3
2,Geralt,Roach,0,3
3,Sir,Geralt,0,3
4,Sir,Milva,0,3
5,Geralt,Milva,0,3
6,Geralt,Cahir,0,3
7,Milva,Cahir,0,3
8,Cahir,Milva,0,3
9,Reynart,Anna,0,3
10,Anna,Reynart,0,3
11,Anna,Dandelion,0,3
12,Anna,Julia,0,3
13,Anna,Sir,0,3
14,Reynart,Dandelion,0,3
15,Reynart,Julia,0,3
16,Reynart,Sir,0,3
17,Dandelion,Julia,0,3
18,Dandelion,Sir,0,3
19,Julia,Sir,0,3
20,Julia,Geralt,0,3
21,Geralt,Sir,0,3
22,Cahir,Reynart,0,3
23,Cahir,Dandelion,0,3
24,Geralt,Dandelion,0,3
25,Reynart,Count,0,3
26,Count,Geralt,0,3
27,Geralt,Reynart,0,3
28,Reynart,Two,0,3
29,Geralt,Two,0,3
30,Two,Reynart,0,3
31,Reynart,Cahir,0,3
32,Dandelion,Milva,0,3
33,Geralt,Julia,0,3
34,Julia,Dandelion,0,3
35,Anna,Geralt,0,3
36,Geralt,Anna,0,3
37,Dandelion,Geralt,0,3
38,Dandelion,Fringilla,0,3
39,Fringilla,Geralt,0,3
40,Geralt,Fringilla,0,3
41,Reynart,Milva,0,3
42,Fringilla,Milva,0,3
43,Anna,Ciri,0,3
44,Geralt,Ciri,0,3
45,Dandelion,Ciri,0,3
46,Ciri,Pavetta,0,3
47,Ciri,Dandelion,0,3
48,Emhyr,Geralt,0,3
49,Milva,Geralt,0,3
50,Geralt,Baron,0,3
51,Geralt,Palmerin,0,3
52,Baron,Palmerin,0,3
53,Palmerin,Baron,0,3
54,Palmerin,Geralt,0,3
55,Milva,Reynart,0,3
56,Milva,Ciri,0,3
57,Count,Fringilla,0,3
58,Baron,Anna,0,3
59,Dandelion,Emiel,0,3
60,Emiel,Geralt,0,3
61,Milva,Fringilla,0,3
62,Milva,Baron,0,3
63,Fringilla,Baron,0,3
64,Baron,Geralt,0,3
65,Baron,Milva,0,3
66,Fringilla,Fulko,0,3
67,Reynart,Roach,0,3
68,Sir,Dandelion,0,3
69,Sir,Cahir,0,3
70,Dandelion,Cahir,0,3
71,Dandelion,Roach,0,3
72,Ciri,Fringilla,0,3
73,Fringilla,Dandelion,0,3
74,Jan,Fringilla,0,3
75,Jan,Geralt,0,3
76,Geralt,King,0,3
77,Roach,Two,0,3
78,Two,Roach,0,3
79,Cahir,Baron,0,3
80,Baron,Dandelion,0,3
81,Milva,Dandelion,0,3
82,Cahir,Geralt,0,3
83,Fringilla,Philippa,0,3
84,Fringilla,Yennefer,0,3
85,Philippa,Fringilla,0,3
86,Philippa,Yennefer,0,3
