,Source,Target,book,chapter
0,Ciri,Yennefer,2,2
1,Yennefer,Ciri,2,2
2,Ciri,Yarpen,2,2
3,Yarpen,Yennefer,2,2
4,Yennefer,Jarre,2,2
5,Ciri,Jarre,2,2
6,Jarre,Molnar,2,2
7,Molnar,Ciri,2,2
8,Ciri,Molnar,2,2
9,Molnar,Yennefer,2,2
10,Yennefer,Molnar,2,2
11,Yennefer,Emhyr,2,2
12,Foltest,Molnar,2,2
13,Molnar,Little,2,2
14,Little,Yennefer,2,2
15,Little,Molnar,2,2
16,Fabio,Ciri,2,2
17,Ciri,Fabio,2,2
18,Fabio,Yennefer,2,2
19,Fabio,Molnar,2,2
20,Yennefer,Fabio,2,2
21,Molnar,Fabio,2,2
22,Count,Ciri,2,2
23,Ciri,Nenneke,2,2
24,Fabio,Nenneke,2,2
25,Two,Ciri,2,2
26,Two,Fabio,2,2
27,Jarre,Yennefer,2,2
28,Ciri,Tissaia,2,2
29,Ciri,Anna,2,2
30,Anna,Ciri,2,2
31,Anna,Yennefer,2,2
32,Yennefer,Margarita,2,2
33,Tissaia,Margarita,2,2
34,Tissaia,Yennefer,2,2
35,Tissaia,Ciri,2,2
36,Margarita,Yennefer,2,2
37,Falka,Rayla,2,2
38,Rayla,Ciri,2,2
39,Yennefer,Rayla,2,2
40,Ciri,Rayla,2,2
41,Margarita,Tissaia,2,2
42,Ciri,Margarita,2,2
43,Tissaia,Geralt,2,2
44,Yennefer,Geralt,2,2
45,Geralt,Ciri,2,2
46,Ciri,Yaevinn,2,2
47,Ciri,King,2,2
48,Ciri,Bran,2,2
49,King,Ciri,2,2
50,King,Bran,2,2
51,Bran,Ciri,2,2
52,Dandelion,Falka,2,2
53,Count,Dandelion,2,2
54,Dandelion,Yennefer,2,2
55,Yennefer,Dandelion,2,2
56,Dandelion,Ciri,2,2
57,Ciri,Dandelion,2,2
58,Ciri,Geralt,2,2
59,Geralt,Dandelion,2,2
