,Source,Target,book,chapter
0,Dandelion,Venzlav,0,5
1,Dandelion,Geralt,0,5
2,Geralt,Dandelion,0,5
3,Dandelion,Triss,0,5
4,Triss,Venzlav,0,5
5,Triss,Geralt,0,5
6,Venzlav,Geralt,0,5
7,Venzlav,Dandelion,0,5
8,Geralt,Fauve,0,5
9,Fauve,Dandelion,0,5
10,Emhyr,Two,0,5
11,King,Demavend,0,5
12,Bronibor,Foltest,0,5
13,Bronibor,Emhyr,0,5
14,Foltest,Emhyr,0,5
15,Demavend,Hereward,0,5
16,Hereward,Emhyr,0,5
17,Foltest,King,0,5
18,King,Emhyr,0,5
19,Ciri,Henselt,0,5
20,Henselt,Foltest,0,5
21,Henselt,Demavend,0,5
22,Foltest,Demavend,0,5
23,Demavend,Dandelion,0,5
24,Dandelion,Menno,0,5
25,Menno,Geralt,0,5
26,Triss,Esterad,0,5
27,Triss,Vilgefortz,0,5
28,Esterad,Vilgefortz,0,5
29,Esterad,Emhyr,0,5
30,Vilgefortz,Emhyr,0,5
31,Vilgefortz,Dandelion,0,5
32,Emhyr,Dandelion,0,5
33,Filavandrel,Henselt,0,5
34,Emhyr,Filavandrel,0,5
35,Emhyr,Foltest,0,5
36,Emhyr,Henselt,0,5
37,Filavandrel,Foltest,0,5
38,Foltest,Henselt,0,5
39,Henselt,Emhyr,0,5
40,Emhyr,Aen,0,5
41,Vilgefortz,Geralt,0,5
42,Geralt,Vilgefortz,0,5
43,Tissaia,Vilgefortz,0,5
44,Geralt,Yennefer,0,5
45,Dandelion,Fauve,0,5
46,Ciri,Dandelion,0,5
47,Ciri,Geralt,0,5
48,Geralt,Ciri,0,5
49,Ardal,Emhyr,0,5
50,Count,Emhyr,0,5
51,Vattier,Emhyr,0,5
52,Vattier,Stefan,0,5
53,Emhyr,Stefan,0,5
54,Emhyr,Xarthisius,0,5
55,Xarthisius,Emhyr,0,5
56,Emhyr,Vattier,0,5
57,Vattier,Ceallach,0,5
58,Xarthisius,Vilgefortz,0,5
59,Emhyr,Vilgefortz,0,5
60,Cahir,Emhyr,0,5
61,Emhyr,Cahir,0,5
62,Cahir,Ceallach,0,5
63,Cahir,Vattier,0,5
64,Ceallach,Vattier,0,5
