,Source,Target,book,chapter
0,Blue,Ciri,2,7
1,Ciri,Blue,2,7
2,Ciri,Two,2,7
3,Blue,Two,2,7
4,Two,Blue,2,7
5,Two,Ciri,2,7
6,Blue,Sir,2,7
7,Ciri,Sir,2,7
8,Sir,Blue,2,7
9,Ciri,Kayleigh,2,7
10,Kayleigh,Baron,2,7
11,Baron,Ciri,2,7
12,Baron,Kayleigh,2,7
13,Kayleigh,Ciri,2,7
14,Kayleigh,Iskra,2,7
15,Iskra,Ciri,2,7
16,Ciri,Mistle,2,7
17,Mistle,Little,2,7
18,Ciri,Iskra,2,7
19,Iskra,Kayleigh,2,7
20,Kayleigh,Mistle,2,7
21,Mistle,Ciri,2,7
22,Mistle,Iskra,2,7
23,Mistle,Kayleigh,2,7
24,Falka,Ciri,2,7
25,Ciri,Falka,2,7
26,Mistle,Falka,2,7
27,Falka,Mistle,2,7
28,Kayleigh,Emhyr,2,7
29,Emhyr,Kayleigh,2,7
30,Aen,Mistle,2,7
31,Aen,Rudiger,2,7
32,Mistle,Rudiger,2,7
33,Rudiger,Mistle,2,7
34,Mistle,Asse,2,7
35,Kayleigh,Asse,2,7
36,Emhyr,Stefan,2,7
