,Source,Target,book,chapter
0,Milva,Forest,0,1
1,Forest,Milva,0,1
2,Maria,Milva,0,1
3,Codringher,Milva,0,1
4,Milva,Geralt,0,1
5,Milva,Maria,0,1
6,Geralt,Maria,0,1
7,Milva,Ori,0,1
8,Ori,Philippa,0,1
9,Philippa,Ori,0,1
10,Ori,Triss,0,1
11,Philippa,Triss,0,1
12,Yennefer,Artaud,0,1
13,Artaud,Yennefer,0,1
14,Artaud,Ori,0,1
15,Yennefer,Ori,0,1
16,Yennefer,Milva,0,1
17,Ori,Milva,0,1
18,Ori,Maria,0,1
19,Emhyr,Milva,0,1
20,Shilard,Francesca,0,1
21,Ori,Stefan,0,1
22,Philippa,Stefan,0,1
23,Philippa,Emhyr,0,1
24,Stefan,Emhyr,0,1
25,Milva,Little,0,1
26,Little,Aen,0,1
27,Little,Milva,0,1
28,Aen,Milva,0,1
29,Milva,Toruviel,0,1
30,Toruviel,Milva,0,1
31,Margarita,Philippa,0,1
32,Philippa,Keira,0,1
33,Keira,Triss,0,1
34,Keira,Philippa,0,1
35,Triss,Philippa,0,1
36,Philippa,Assire,0,1
37,Assire,Philippa,0,1
38,Philippa,Sabrina,0,1
39,Sabrina,Sheala,0,1
40,Sabrina,Francesca,0,1
41,Sheala,Francesca,0,1
42,Francesca,Philippa,0,1
43,Philippa,Margarita,0,1
44,Philippa,Francesca,0,1
45,Margarita,Francesca,0,1
46,Margarita,Assire,0,1
47,Francesca,Assire,0,1
48,Sabrina,Philippa,0,1
49,Sabrina,Emhyr,0,1
50,Francesca,Sabrina,0,1
51,Philippa,Sheala,0,1
52,Sheala,Philippa,0,1
53,Assire,Sabrina,0,1
54,Margarita,Sheala,0,1
55,Francesca,King,0,1
56,King,Francesca,0,1
57,King,Assire,0,1
58,King,Triss,0,1
59,Francesca,Triss,0,1
60,Francesca,Keira,0,1
61,Assire,Triss,0,1
62,Assire,Keira,0,1
63,Triss,Keira,0,1
64,Triss,Sabrina,0,1
65,Keira,Sabrina,0,1
66,Sabrina,Assire,0,1
67,Francesca,Emhyr,0,1
68,Assire,Emhyr,0,1
69,Sabrina,Margarita,0,1
70,Emhyr,Margarita,0,1
71,Emhyr,Sheala,0,1
72,Sheala,Assire,0,1
73,Assire,Francesca,0,1
74,Francesca,Sheala,0,1
75,Two,Mistle,0,1
76,Two,Falka,0,1
77,Mistle,Falka,0,1
78,Asse,Kayleigh,0,1
79,Asse,Little,0,1
80,Kayleigh,Little,0,1
81,Falka,Little,0,1
