,Source,Target,book,chapter
0,Milva,Roach,0,5
1,Cahir,Dandelion,0,5
2,Sir,Demavend,0,5
3,Demavend,Vilgefortz,0,5
4,Demavend,Rience,0,5
5,Vilgefortz,Rience,0,5
6,Vattier,Francesca,0,5
7,Francesca,Cahir,0,5
8,Cahir,Rience,0,5
9,Stefan,Vattier,0,5
10,Stefan,Milva,0,5
11,Vattier,Milva,0,5
12,Milva,Ciri,0,5
13,Ciri,Cahir,0,5
14,Cahir,Milva,0,5
15,Cahir,Ciri,0,5
16,Milva,Fringilla,0,5
17,Milva,Assire,0,5
18,Ciri,Fringilla,0,5
19,Ciri,Assire,0,5
20,Fringilla,Assire,0,5
21,Fringilla,Merlin,0,5
22,Assire,Merlin,0,5
23,Merlin,Assire,0,5
24,Merlin,Fringilla,0,5
25,Assire,Fringilla,0,5
26,Assire,King,0,5
27,Assire,Albrich,0,5
28,King,Albrich,0,5
29,Albrich,Assire,0,5
30,Assire,Xarthisius,0,5
31,Stella,Assire,0,5
32,Stella,Emhyr,0,5
33,Assire,Emhyr,0,5
34,Emhyr,Fringilla,0,5
35,Emhyr,Xarthisius,0,5
36,Fringilla,Xarthisius,0,5
37,Fringilla,Emhyr,0,5
38,Xarthisius,Emhyr,0,5
39,Emhyr,Cahir,0,5
40,Cahir,Emhyr,0,5
41,Emhyr,Assire,0,5
42,Cahir,Assire,0,5
43,Assire,Cahir,0,5
44,Cahir,Fringilla,0,5
45,Milva,Cahir,0,5
46,Milva,Dandelion,0,5
47,Dandelion,Vissegerd,0,5
48,Vissegerd,Dandelion,0,5
49,Vissegerd,Geralt,0,5
50,Vissegerd,Count,0,5
51,Dandelion,Geralt,0,5
52,Dandelion,Count,0,5
53,Geralt,Vissegerd,0,5
54,Geralt,Count,0,5
55,Count,Dandelion,0,5
56,Geralt,Dandelion,0,5
57,Milva,Geralt,0,5
58,Ciri,Geralt,0,5
59,Geralt,Yennefer,0,5
60,Yennefer,Dandelion,0,5
61,Yennefer,Geralt,0,5
62,Dandelion,Milva,0,5
63,Geralt,Milva,0,5
64,Dandelion,Cahir,0,5
65,Dandelion,Ciri,0,5
66,Ciri,Milva,0,5
67,Philippa,Dandelion,0,5
68,Milva,Emiel,0,5
69,Geralt,Emiel,0,5
70,Cahir,Geralt,0,5
71,Kayleigh,Mistle,0,5
72,Mistle,Kayleigh,0,5
73,Falka,Mistle,0,5
74,Mistle,Cahir,0,5
75,Geralt,Cahir,0,5
76,Milva,Yennefer,0,5
77,Dandelion,Yennefer,0,5
78,Yennefer,Milva,0,5
79,Geralt,Ciri,0,5
80,Ciri,Dandelion,0,5
