,Source,Target,book,chapter
0,Geralt,Zoltan,0,3
1,Geralt,Field,0,3
2,Zoltan,Geralt,0,3
3,Zoltan,Field,0,3
4,Field,Zoltan,0,3
5,Zoltan,King,0,3
6,Zoltan,Percival,0,3
7,King,Percival,0,3
8,Percival,Zoltan,0,3
9,Zoltan,Milva,0,3
10,Geralt,Milva,0,3
11,Zoltan,Dandelion,0,3
12,Dandelion,Geralt,0,3
13,Dandelion,Milva,0,3
14,Dandelion,Field,0,3
15,Milva,Field,0,3
16,Field,Two,0,3
17,Two,Zoltan,0,3
18,Field,Milva,0,3
19,Milva,Zoltan,0,3
20,Milva,Dandelion,0,3
21,Dandelion,Zoltan,0,3
22,Dandelion,Percival,0,3
23,Dandelion,Figgis,0,3
24,Percival,Figgis,0,3
25,Percival,Milva,0,3
26,Figgis,Milva,0,3
27,Milva,Ciri,0,3
28,Ciri,Geralt,0,3
29,Ciri,Dandelion,0,3
30,Ciri,Milva,0,3
31,Geralt,Dandelion,0,3
32,Milva,Geralt,0,3
33,Milva,Percival,0,3
34,Geralt,Percival,0,3
35,Field,Geralt,0,3
36,Percival,Geralt,0,3
37,Emiel,Zoltan,0,3
38,Emiel,Geralt,0,3
39,Zoltan,Emiel,0,3
40,Geralt,Sir,0,3
41,Sir,Zoltan,0,3
42,Zoltan,Sir,0,3
43,Percival,Emiel,0,3
44,Emiel,Dandelion,0,3
45,Percival,Dandelion,0,3
46,Yennefer,Dandelion,0,3
47,Yennefer,Geralt,0,3
48,Geralt,Ciri,0,3
49,Zoltan,Two,0,3
50,Geralt,Two,0,3
51,Two,Percival,0,3
52,Zoltan,Brouver,0,3
53,Percival,King,0,3
54,King,Brouver,0,3
55,Dandelion,Ciri,0,3
56,Dandelion,Count,0,3
57,Ciri,Count,0,3
58,Falka,Ciri,0,3
59,Ciri,Falka,0,3
60,Falka,Kayleigh,0,3
61,Ciri,Kayleigh,0,3
62,Kayleigh,Ciri,0,3
